"id","average","rank","latitude","longitude","elevation","state","name","total19"
"USS0021A09S",152.2,1,48.76,-121.7,1072.9,"WA","Marten Ridge",111.4
"FMW00040505",146.2,2,7.45,151.8333,1.5,"FM","CHUUK WSO AP",145.6
"USS0023B18S",132.8,3,47.71,-123.46,1484.4,"WA","Buckinghorse",81.1
"USS0021D33S",122.7,4,45.43,-121.86,1112.5,"OR","Blazed Alder",85.4
"USS0021A36S",119.4,5,48.82,-121.93,1514.9,"WA","MF Nooksack",88.3
"USS0022D03S",118.3,6,45.45,-122.03,819.9,"OR","South Fork Bull Run",84.6
"USW00021504",112.9,7,19.7192,-155.0531,11.6,"HI","HILO INTL AP",100.8
"USS0021D04S",111.2,8,45.46,-121.7,1344.2,"OR","Red Hill",80.2
"USW00094240",105.4,9,47.9375,-124.555,56.4,"WA","QUILLAYUTE STATE AP",81
"USS0021C26S",104.3,10,46.27,-121.96,1197.9,"WA","Lone Pine",74
"USS0021B59S",102,11,47.28,-121.47,984.5,"WA","Meadows Pass",76.3
"GQW00041415",101.8,12,13.4836,144.7961,77.4,"GU","GUAM INTL AP",92
"USS0023D01S",96.5,13,45.54,-123.37,947.9,"OR","Saddle Mountain",72.3
"USS0021B01S",92.9,14,47.75,-121.09,1204,"WA","Stevens Pass",65.6
"USS0016A08S",88.9,15,48.31,-116.07,1645.9,"ID","Bear Mountain",60.9
"USW00014755",87.3,16,44.2667,-71.2994,1910.2,"NH","MT WASHINGTON",87.2
"USS0022E07S",87,17,44.39,-122.17,1072.9,"OR","Jump Off Joe",65.7
"USS0021B63S",82.9,18,47.04,-121.94,1271,"WA","Burnt Mountain",65.2
"USC00455840",80.9,19,48.6758,-121.2419,160,"WA","NEWHALEM",56.9
"USS0022E08S",79.6,20,44.52,-122.09,1124.7,"OR","Daly Lake",63.8
"USC00084461",78,21,26.86,-80.0553,1.5,"FL","JUNO BEACH",89.5
"USS0022F04S",76.6,22,43.61,-122.12,1286.3,"OR","Salt Creek Falls",63.9
"USC00352973",75.7,23,44.0039,-124.0947,22.9,"OR","FLORENCE #2",64.8
"USS0013A19S",75.5,24,48.8,-113.86,1920.2,"MT","Flattop Mtn.",64.7
"USC00353705",75.1,25,45.3128,-123.35,230.4,"OR","HASKINS DAM",50.9
"USS0013A25S",74.2,26,48.16,-113.95,1841,"MT","Noisy Basin",57.4
"USW00094224",73.3,27,46.1569,-123.8825,2.7,"OR","ASTORIA RGNL AP",51.5
"USW00025501",73.2,28,57.7511,-152.4856,24.4,"AK","KODIAK AP",73.8
"USS0021D01S",72.8,29,45.62,-121.7,1008.9,"OR","Greenpoint",50.6
"USC00451679",72.8,30,48.5397,-121.7422,59.4,"WA","CONCRETE PPL FISH STN",52.4
"USC00355221",72.5,31,44.6125,-121.9486,754.4,"OR","MARION FORKS FISH HATCHERY",54.9
"USC00097827",72,32,34.6647,-83.7342,484.9,"GA","SAUTEE 3W",81
"USS0022F14S",71.8,33,43.45,-122.14,1709.9,"OR","Summit Lake",66.1
"USS0017D20S",71.7,34,45.98,-117.95,1700.8,"OR","Milk Shakes",62.2
"USW00013899",71.1,35,30.4781,-87.1869,34.1,"FL","PENSACOLA RGNL AP",52.6
"USC00160558",70.9,36,30.4494,-91.0478,16.8,"LA","BATON ROUGE SHERWOOD",75.9
"USC00406162",70.7,37,35.2242,-85.8414,563.9,"TN","MONTEAGLE",81.9
"USW00094225",69.9,38,46.9728,-123.9303,3.7,"WA","HOQUIAM BOWERMAN AP",45.2
"USS0021E06S",69.8,39,44.42,-121.86,1460,"OR","Hogg Pass",54.1
"USW00012839",69,40,25.7906,-80.3164,8.8,"FL","MIAMI INTL AP",67.2
"USS0021C42S",67.8,41,46.1,-121.96,652.3,"WA","Pepper Creek",52.3
"USW00013894",67.7,42,30.6794,-88.2397,63.4,"AL","MOBILE",64.7
"US1FLOK0029",67.1,43,30.4109,-86.6475,4.9,"FL","MARY ESTHER 0.6 E",54.6
"USS0013B24S",66.6,44,47.68,-113.96,2066.5,"MT","Moss Peak",55.4
"USS0021C38S",66.5,45,46.81,-121.33,1405.1,"WA","Bumping Ridge",48.2
"USW00013970",66.5,46,30.5372,-91.1469,19.5,"LA","BATON ROUGE RYAN AP",64.1
"RQW00011641",66.3,47,18.4325,-66.0108,2.7,"PR","SAN JUAN L M MARIN AP",47
"USW00025309",66.2,48,58.3567,-134.5639,4.9,"AK","JUNEAU INTL AP",60.5
"USS0022F03S",65.8,49,43.59,-122.06,1554.5,"OR","Cascade Summit",53.9
"USC00164700",65.5,50,30.2003,-92.6642,7.6,"LA","JENNINGS",69
"US1FLMD0022",65.4,51,25.665,-80.4395,2.7,"FL","HAMMOCKS 0.5 SSE",63
"USS0014C12S",65.3,52,46.14,-114.51,1950.7,"MT","Twin Lakes",47.3
"USC00400284",64.8,53,35.4322,-84.5833,286.5,"TN","ATHENS",75.7
"US1KYCS0001",64.8,54,37.5245,-84.9965,287.1,"KY","BRADFORDSVILLE 8.5 ENE",69.6
"USS0022G06S",64.7,55,42.87,-122.17,1831.8,"OR","Annie Springs",60.8
"USS0021B04S",64.4,56,47.54,-121.09,1045.5,"WA","Fish Lake",49.5
"USW00093874",64.2,57,30.4119,-89.0808,12.8,"MS","GULFPORT - BILOXI AP",49.2
"USW00012916",63.7,58,29.9933,-90.2511,1.2,"LA","NEW ORLEANS INTL AP",62.6
"USS0015C06S",63.6,59,46.48,-115.63,1770.9,"ID","Hemlock Butte",51.8
"USS0021F21S",63.5,60,43.8,-121.95,1688.6,"OR","Irish Taylor",52.5
"USC00462211",63.2,61,39.0981,-79.4322,1132.3,"WV","DAVIS 3SE",63.8
"USS0021C40S",63.1,62,46.93,-121.95,963.2,"WA","Mowich",52.3
"US1FLHB0004",62.7,63,27.9125,-82.2261,32.9,"FL","VALRICO 2.2 SE",68.1
"USS0015C10S",62.6,64,46.98,-115.03,1844,"MT","Hoodoo Basin",46.6
"USW00013748",62.3,65,34.2675,-77.8997,10.1,"NC","WILMINGTON INTL AP",49.1
"USC00226527",62.3,66,34.9536,-89.8297,117.3,"MS","OLIVE BRANCH",85.2
"USS0023G09S",61.9,67,42.72,-123.2,1322.8,"OR","King Mountain",59.5
"USW00013833",61.6,68,31.2819,-89.2531,46,"MS","HATTIESBURG CHAIN MUNI AP",66.6
"USW00003937",61.6,69,30.125,-93.2158,4,"LA","LAKE CHARLES",66
"USC00177238",61.3,70,45.0853,-67.1206,35.1,"ME","ROBBINSTON",70
"USW00003940",61.1,71,32.3206,-90.0778,100.6,"MS","JACKSON INTL AP",64.2
"USS0020K30S",61,72,39.19,-120.26,2447.2,"CA","Squaw Valley G.C.",69.6
"USC00449272",61,73,36.7736,-80.2622,385,"VA","WOOLWINE 1 SE",56.6
"USS0020L06S",60.9,74,38.85,-120.08,2337.8,"CA","Echo Peak",71.2
"USS0022G33S",60.5,75,42.7,-122.14,1737.4,"OR","Sevenmile Marsh",54.6
"US1TNHT0001",60.4,76,36.3087,-87.7842,210,"TN","TENNESSEE RIDGE 1.4 SW",61.6
"US1MSLD0008",60.4,77,32.5498,-88.8206,118,"MS","COLLINSVILLE 4.0 NNE",67.6
"USS0006J29S",60.3,78,40.54,-106.68,3200.4,"CO","Tower",68.9
"USC00405956",60.3,79,35.1297,-89.8036,94.5,"TN","MEMPHIS WFO",76.7
"USC00220656",60.1,80,34.4772,-88.1994,186.5,"MS","BELMONT 2 SSE",76.8
"US1FLBV0001",59.6,81,27.9512,-80.642,11.9,"FL","PALM BAY 2.6 SSE",67.8
"USW00003847",59.6,82,35.9508,-85.0814,569.1,"TN","CROSSVILLE MEM AP",68
"USC00030130",59.3,83,34.7961,-92.8417,212.8,"AR","ALUM FK",73.9
"USC00407184",58.6,84,35.5983,-85.1939,263.3,"TN","PIKEVILLE",70.2
"USC00408868",58.6,85,36.465,-83.5603,416.1,"TN","TAZEWELL",71.7
"USC00408160",58.4,86,35.1647,-88.5994,143.3,"TN","SELMER",71.8
"US1MSWN0002",58.3,87,32.9751,-89.117,145.1,"MS","NOXAPATER 3.3 WSW",75.6
"USC00303851",58.3,88,43.5753,-75.5208,537.4,"NY","HIGHMARKET",65.4
"USW00093805",57.6,89,30.3975,-84.3289,19.2,"FL","TALLAHASSEE",39.1
"USW00013865",57.6,90,32.3347,-88.7442,89.6,"MS","MERIDIAN KEY FLD",60.6
"USS0019K07S",57.6,91,39.32,-119.89,2682.5,"NV","Mt Rose Ski Area",80.7
"USW00093862",57.3,92,34.2622,-88.7714,110,"MS","TUPELO RGNL AP",77
"US1TNMY0008",57.3,93,35.6072,-87.0592,220.1,"TN","COLUMBIA 1.2 SSW",64.7
"USS0019L38S",57.3,94,38.28,-119.61,2931.3,"CA","Leavitt Lake",72
"USC00157215",57.3,95,36.7461,-86.2258,226.5,"KY","SCOTTSVILLE",69.5
"US1TNRD0001",57.2,96,35.9247,-86.4367,167.9,"TN","MURFREESBORO 5.5 NNW",69
"USS0011E35S",57.2,97,44.51,-111.13,2490.2,"MT","Black Bear",63.2
"US1INDB0001",56.9,98,38.2929,-86.9611,153.3,"IN","HUNTINGBURG 0.4 SSW",68.2
"USC00365344",56.7,99,40.8344,-76.1353,521.2,"PA","MAHANOY CITY 2 N",56.7
"USC00155097",56.6,100,37.1317,-86.1481,231.6,"KY","MAMMOTH CAVE",64.9
"US1KYTD0002",56.5,101,36.6534,-87.184,164.6,"KY","GUTHRIE 0.8 WNW",61.2
"US1GACW0002",56.5,102,33.4273,-84.6607,270.4,"GA","SHARPSBURG 6.0 N",55
"USW00013893",56.4,103,35.0564,-89.9864,77.4,"TN","MEMPHIS INTL AP",73.7
"USC00154958",56.2,104,38.115,-85.6444,192.6,"KY","LOUISVILLE WFO",59.2
"USW00013882",56.2,105,35.0311,-85.2014,204.5,"TN","CHATTANOOGA LOVELL AP",63.2
"USS0019L19S",56.2,106,38.55,-119.8,2671.6,"CA","Ebbetts Pass",73.8
"USW00003811",56.1,107,35.5931,-88.9167,132,"TN","JACKSON MCKELLAR AP",66.2
"USC00414325",56.1,108,29.66,-95.6275,15.2,"TX","HOUSTON-WESTBURY",55.2
"USS0009D06S",55.8,109,45.06,-109.94,2773.7,"MT","Fisher Creek",60
"US1GACW0009",55.8,110,33.384,-84.8338,266.4,"GA","NEWNAN 2.6 W",56.9
"USW00013876",55.7,111,33.5656,-86.745,187.5,"AL","BIRMINGHAM AP",52.6
"USC00178792",55.7,112,45.4353,-67.7214,189,"ME","TOPSFIELD 2",61
"USW00013942",55.7,113,32.5156,-92.0406,24.1,"LA","MONROE RGNL AP",61.7
"USW00003952",55.6,114,34.8364,-92.2619,173.1,"AR","LITTLE ROCK",66.2
"USW00003889",55.6,115,37.5908,-83.3131,415.7,"KY","JACKSON",57.6
"USW00003856",55.4,116,34.6439,-86.7861,190.2,"AL","HUNTSVILLE INTL AP",61.6
"USS0021D13S",55.4,117,45.1,-121.75,1036.3,"OR","Clackamas Lake",42.3
"US1GAFT0019",54.8,118,33.7014,-84.5722,264.6,"GA","EAST POINT 6.3 WNW",55.2
"US1PABR0002",54.7,119,40.3162,-75.9887,97.5,"PA","READING 3.5 SW",66.6
"USS0022G21S",54.7,120,42.05,-122.85,1844,"OR","Big Red Mountain",56.9
"USC00301625",54.6,121,42.6472,-78.7111,467.9,"NY","COLDEN 1W",54.9
"USC00085359",54.5,122,25.9492,-81.7139,3,"FL","MARCO IS",57.1
"USW00013880",54.4,123,32.8986,-80.0403,12.2,"SC","CHARLESTON INTL AP",49.5
"USS0017D06S",54.3,124,45.27,-117.69,1755.6,"OR","Moss Springs",54.4
"USW00012842",54.3,125,27.9619,-82.5403,5.8,"FL","TAMPA INTL AP",60.8
"USW00093820",54.3,126,38.0408,-84.6058,298.7,"KY","LEXINGTON BLUEGRASS AP",56.1
"USS0015E04S",54.2,127,44.54,-115.56,2090.9,"ID","Deadwood Summit",52.1
"USS0011H08S",54.2,128,41.38,-111.94,2438.4,"UT","Ben Lomond Peak",73.2
"USW00013891",54.2,129,35.8181,-83.9858,293.2,"TN","KNOXVILLE MCGHEE TYSON AP",64.3
"USS0022G24S",54.1,130,42.53,-122.18,1810.5,"OR","Cold Springs Camp",45.9
"US1INOW0009",54.1,131,39.1858,-86.7782,235.9,"IN","SPENCER 7.0 S",65.1
"USC00166584",54,132,31.8142,-93.0856,43,"LA","NATCHITOCHES #2",60.8
"USC00450482",53.9,133,45.7717,-122.5286,86.6,"WA","BATTLE GROUND",40.6
"USS0010G23S",53.8,134,42.82,-110.84,2554.2,"WY","Willow Creek",51.9
"USW00003816",53.8,135,37.0683,-88.7719,119.5,"KY","PADUCAH",70.3
"US1INWK0005",53.8,136,38.0805,-87.2758,143,"IN","BOONVILLE 2.4 N",66.5
"USC00382735",53.8,137,32.6072,-80.3258,3.7,"SC","EDISTO IS MIDDLETON PLANTATION",58.1
"USW00013963",53.7,138,34.7272,-92.2389,78.6,"AR","LITTLE ROCK AP ADAMS FLD",60.5
"USW00003812",53.6,139,35.4319,-82.5375,645.3,"NC","ASHEVILLE RGNL AP",57.2
"USC00065445",53.5,140,41.9725,-73.2208,408.4,"CT","NORFOLK 2 SW",53.3
"USC00190736",53.4,141,42.2122,-71.1136,190.5,"MA","BLUE HILL",57.2
"USW00013897",53.2,142,36.1189,-86.6892,182.9,"TN","NASHVILLE INTL AP",64.3
"USW00093808",53.1,143,36.9647,-86.4239,160.9,"KY","BOWLING GREEN WARREN CO AP",62.1
"USW00012918",52.9,144,29.6381,-95.2819,13.4,"TX","HOUSTON HOBBY AP",55.1
"USS0010F30S",52.9,145,43.78,-110.93,2822.4,"WY","Grand Targhee",49.6
"USC00195984",52.8,146,41.9928,-71.1667,29,"MA","NORTON W",58.8
"USS0018D19S",52.3,147,45.7,-118.11,1499.6,"OR","High Ridge",47.1
"USW00093821",52.2,148,38.1811,-85.7392,148.7,"KY","LOUISVILLE INTL AP",53.3
"USC00171131",52.2,149,43.2242,-70.6389,46.3,"ME","CAPE NEDDICK",57.8
"USC00443375",52.1,150,37.6183,-79.4358,224.6,"VA","GLASGOW 1 SE",48.7
"USW00024227",52.1,151,46.9733,-122.9033,57.3,"WA","OLYMPIA AP",37.1
"US1NCWK0013",52.1,152,35.8624,-78.5665,103.9,"NC","RALEIGH 5.9 ENE",50.2
"USC00185934",52,153,39.7194,-76.8028,262.1,"MD","MILLERS 4 NE",48.2
"USC00193624",52,154,42.2269,-70.9125,10.7,"MA","HINGHAM",62.3
"USS0010E09S",51.9,155,44.21,-110.67,2392.7,"WY","Lewis Lake Divide",51.4
"USS0010D35S",51.8,156,45.89,-110.94,2231.1,"MT","Brackett Creek",51.1
"USW00013737",51.8,157,36.9033,-76.1922,9.1,"VA","NORFOLK INTL AP",46.2
"USS0022G13S",51.7,158,42.41,-122.27,1609.3,"OR","Billie Creek Divide",47.1
"US1NCNS0002",51.6,159,35.9713,-78.0134,68.3,"NC","NASHVILLE 3.2 W",48
"USS0015A03S",51.6,160,48.97,-115.95,1966,"MT","Hawkins Lake",40.4
"USC00448192",51.5,161,36.7297,-76.6014,6.7,"VA","SUFFOLK LAKE KILBY",49.8
"USW00003870",51.5,162,34.8831,-82.2203,286.5,"SC","GREER",51.9
"USW00012843",51.4,163,27.6531,-80.2428,8.5,"FL","VERO BEACH INTL AP",49.8
"USC00173862",51.3,164,43.6475,-70.675,92.7,"ME","HOLLIS",53.5
"USS0019L43S",51.3,165,38.68,-119.96,2443.6,"CA","Forestdale Creek",63.3
"USW00013874",51.2,166,33.63,-84.4417,307.8,"GA","ATLANTA HARTSFIELD INTL AP",43.8
"US1DENC0002",51.1,167,39.6249,-75.7861,33.8,"DE","NEWARK 3.9 SSW",51.6
"USW00012960",51.1,168,29.98,-95.36,29,"TX","HOUSTON INTERCONT AP",52
"USC00360868",51,169,41.8981,-78.7144,506,"PA","BRADFORD 4SW RSCH 5",54.4
"USW00014737",50.9,170,40.6508,-75.4492,118.9,"PA","ALLENTOWN INTL AP",60.7
"USS0022G12S",50.8,171,42.44,-122.23,1819.7,"OR","Fourmile Lake",48.8
"USW00094728",50.8,172,40.7789,-73.9692,39.6,"NY","NEW YORK CNTRL PK TWR",53.1
"USW00013895",50.6,173,32.2997,-86.4075,61.6,"AL","MONTGOMERY AP",47.7
"USC00368361",50.6,174,41.8161,-80.425,306.3,"PA","SPRINGBORO 3 WNW",51
"USW00094746",50.6,175,42.2706,-71.8731,304.8,"MA","WORCESTER RGNL AP",54.8
"USS0009E11S",50.5,176,44.65,-109.78,2804.2,"WY","Evening Star",47.8
"USW00012834",50.4,177,29.1828,-81.0483,9.4,"FL","DAYTONA BEACH INTL AP",59
"USS0022F18S",50.3,178,43.19,-122.14,1609.3,"OR","Diamond Lake",44.9
"USC00091500",50.2,179,31.1903,-84.2036,53.3,"GA","CAMILLA 3SE",43
"USW00013873",50.1,180,33.9481,-83.3275,239.3,"GA","ATHENS BEN EPPS AP",46.3
"USC00175736",50,181,44.6353,-70.0003,146.3,"ME","NEW SHARON",51.5
"US1DENC0010",49.9,182,39.7256,-75.6488,20.7,"DE","NEWPORT 2.4 WNW",48.4
"USS0013C01S",49.9,183,47,-113.93,2255.5,"MT","Stuart Mountain",44.4
"USS0015B02S",49.9,184,47.46,-115.71,1566.7,"ID","Lookout",37.8
"USW00093718",49.9,185,33.8117,-78.7239,9.8,"SC","N MYRTLE BCH AP",56
"USW00012816",49.9,186,29.6919,-82.2756,37.5,"FL","GAINESVILLE RGNL AP",49.7
"USC00178817",49.8,187,44.2822,-70.2561,172.2,"ME","TURNER",51.4
"USC00361810",49.8,188,41.7392,-77.9711,655.3,"PA","COUDERSPORT 7SE",55.4
"USC00387687",49.7,189,34.6111,-82.7269,233.2,"SC","SANDY SPRINGS 2 NE",41.8
"USW00012815",49.7,190,28.4339,-81.325,27.4,"FL","ORLANDO INTL AP",48
"US1FLLK0003",49.7,191,28.565,-81.824,34.1,"FL","GROVELAND 1.7 E",48.6
"US1NHMR0006",49.7,192,43.52,-71.819,285,"NH","DANBURY 2.2 ESE",49.9
"US1INDV0001",49.6,193,38.6754,-87.19,145.1,"IN","WASHINGTON 1.5 NW",62
"USC00170409",49.6,194,43.9317,-69.8564,7.6,"ME","BATH",54.4
"USW00093730",49.5,195,39.4494,-74.5672,18.3,"NJ","ATLANTIC CITY INTL AP",44.9
"USW00013889",49.5,196,30.4844,-81.7019,10.1,"FL","JACKSONVILLE",46.4
"USC00172048",49.4,197,43.9997,-70.0964,42.7,"ME","DURHAM",52.7
"USC00300321",49.4,198,42.9328,-76.5447,234.7,"NY","AUBURN",50.5
"USS0014A11S",49.3,199,48.91,-114.77,1310.6,"MT","Grave Creek",35.5
"USW00014764",49.3,200,43.6497,-70.3003,13.7,"ME","PORTLAND INTL JETPORT",52.2
"USW00093814",49.3,201,39.0431,-84.6717,264.9,"KY","CINCINNATI NORTHERN KY AP",52.8
"USC00317845",49.2,202,35.3111,-81.5708,249.9,"NC","SHELBY 2 NW",52.6
"USW00093842",49.2,203,32.5161,-84.9422,119.5,"GA","COLUMBUS METRO AP",49
"USW00012838",49.1,204,28.1011,-80.6439,8.2,"FL","MELBOURNE INTL AP",55.7
"USW00003860",49.1,205,38.365,-82.555,251.2,"WV","HUNTINGTON TRI STATE AP",49.4
"USW00014765",48.9,206,41.7219,-71.4325,18.3,"RI","PROVIDENCE T F GREEN AP",52
"USC00353971",48.9,207,44.3525,-122.7842,185.9,"OR","HOLLEY",43.1
"USS0014C13S",48.9,208,46.14,-114.45,1706.9,"MT","Twelvemile Creek",42.7
"USW00014711",48.7,209,40.1936,-76.7633,95.1,"PA","MIDDLETOWN HARRISBURG INTL AP",47.9
"USS0010D10S",48.7,210,45.87,-110.93,1996.4,"MT","Sacajawea",48.1
"USC00367732",48.7,211,39.8958,-76.3947,59.4,"PA","SAFE HARBOR DAM",49.1
"USC00317202",48.6,212,36.3797,-79.6944,271.3,"NC","REIDSVILLE 2 NW",49.7
"USW00014734",48.5,213,40.6825,-74.1694,2.1,"NJ","NEWARK INTL AP",58.6
"USW00013722",48.5,214,35.8922,-78.7819,126.8,"NC","RALEIGH DURHAM INTL AP",43
"USW00053860",48.3,215,30.3361,-81.5147,12.5,"FL","JACKSONVILLE CRAIG MUNI AP",47.6
"USW00014740",48.3,216,41.9381,-72.6825,57.9,"CT","HARTFORD BRADLEY INTL AP",52.5
"USS0013A26S",48.3,217,48.3,-113.33,1807.5,"MT","Pike Creek",46.5
"USC00319675",48.2,218,36.1306,-80.5481,266.7,"NC","YADKINVILLE 6 E",47
"USC00235027",48.2,219,37.3908,-93.9492,328.3,"MO","LOCKWOOD",60.5
"USW00013939",48.2,220,33.4825,-90.9853,39,"MS","GREENVILLE ASOS",78.2
"USW00013866",48.2,221,38.3794,-81.59,277.4,"WV","CHARLESTON YEAGER AP",46.9
"US1INHN0011",48.2,222,39.937,-85.9,259.1,"IN","MCCORDSVILLE 2.6 NE",50.5
"USC00314996",48.2,223,35.4606,-81.3297,270.4,"NC","LINCOLNTON 4 W",53.9
"USC00406534",48.2,224,35.9833,-83.2008,315.8,"TN","NEWPORT 1 NW",57.6
"USW00013739",48.1,225,39.8683,-75.2311,3,"PA","PHILADELPHIA INTL AP",47.5
"USW00013957",48,226,32.4506,-93.8411,83.2,"LA","SHREVEPORT",42.9
"USW00013964",48,227,35.3331,-94.3625,136.9,"AR","FT SMITH RGNL AP",67.5
"USC00446475",48,228,37.5844,-75.8217,9.1,"VA","PAINTER 2 W",46.4
"USS0006H10S",48,229,41.15,-106.97,3048,"WY","Old Battle",50.1
"USW00003962",47.9,230,34.29,-93.06,163.1,"AR","HOT SPRINGS ASOS",52.4
"USS0021C28S",47.7,231,46.64,-121.38,1353.3,"WA","White Pass E.S.",33.8
"USW00093987",47.7,232,31.2361,-94.7544,87.8,"TX","LUFKIN ANGELINA CO AP",41.7
"US1NCGL0008",47.6,233,36.1515,-79.7968,242.3,"NC","GREENSBORO 5.3 NNE",51.8
"USW00013786",47.6,234,36.2606,-76.175,4,"NC","ELIZABETH CITY CGAS",55
"USS0006J19S",47.6,235,40.79,-106.6,2846.8,"CO","Zirkel",49.8
"USW00013781",47.5,236,39.6728,-75.6008,24.1,"DE","WILMINGTON NEW CASTLE CO AP",48
"USW00012923",47.4,237,29.2733,-94.8592,1.5,"TX","GALVESTON SCHOLES FLD",59.3
"USW00093721",47.3,238,39.1667,-76.6833,47.5,"MD","BALTIMORE WASH INTL AP",38.2
"US1ILSC0003",47.3,239,38.5096,-89.9711,157.9,"IL","BELLEVILLE 2.2 SE",54.8
"USC00193276",47.3,240,42.7467,-71.0425,9.1,"MA","GROVELAND",50.2
"USS0015D06S",47.2,241,45.7,-115.23,1938.5,"ID","Mountain Meadows",45.9
"USS0013A27S",47.1,242,48.8,-113.67,1493.5,"MT","Many Glacier",40.9
"USS0009C01S",47,243,46.79,-109.51,1844,"MT","Crystal Lake",41.5
"USS0015E02S",46.9,244,44.63,-115.79,2005.6,"ID","Big Creek Summit",42.9
"USW00093720",46.9,245,38.3406,-75.5103,14.6,"MD","SALISBURY WICOMICO RGNL AP",36.9
"USC00272302",46.9,246,42.8267,-71.6261,73.2,"NH","E MILFORD",45.7
